Handles  NPM(K)     PM(K)     WS(K)   CPU(s)      Id  SI  ProcessName        Path
   1228      20     14367     15126    37.54    1449   1  conhost            C:\Windows\System32\conhost.exe
    292      33     54890     68867    39.14    1505   1  chrome             C:\Program Files\Google\Chrome\Application\chrome.exe
    219       9     24953     28904     2.86    1537   1  taskhostw          C:\Windows\System32\taskhostw.exe
   1339      39     75624     85070    39.92    1579   1  SecurityHealthService C:\Windows\System32\SecurityHealthService.exe
    707      58     89373    102672    24.67    1632   1  MsMpEng            C:\Program Files\Windows Defender\MsMpEng.exe
   1334      31    118057    128789    38.65    1679   1  ShellExperienceHost C:\Windows\System32\ShellExperienceHost.exe
    187      40     76536     90358    25.79    1686   1  dwm                C:\Windows\System32\dwm.exe
   1039      45    154389    172739    27.02    1695   1  SearchIndexer      C:\Windows\System32\SearchIndexer.exe
     99      39    163212    166060    44.07    1712   1  MsMpEng            C:\Program Files\Windows Defender\MsMpEng.exe
    936      39     26873     45853    25.76    1730   1  NisSrv             C:\Program Files\Windows Defender\NisSrv.exe
    789      35     32555     37513    34.11    1756   1  winlogon           C:\Windows\System32\winlogon.exe
    264      57     97943    100905    36.20    1769   1  ctfmon             C:\Windows\System32\ctfmon.exe
    853      45    100097    118037    38.65    1810   1  Discord            C:\Users\jsmith\AppData\Local\Discord\app-1.0.9013\Discord.exe
   1163      47    159745    166846    20.27    1836   1  winword            C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE
    165      30     79900     86484    44.48    1889   1  NisSrv             C:\Program Files\Windows Defender\NisSrv.exe
   1375      14     49553     50714    18.46    1937   1  notepad            C:\Windows\System32\notepad.exe
   1199      10     78396     91929    22.44    1981   1  dllhost            C:\Windows\System32\dllhost.exe
    291      47     62989     66625    31.37    2035   1  outlook            C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE
   1165      29    160474    172747     8.44    2083   1  NisSrv             C:\Program Files\Windows Defender\NisSrv.exe
    488      12    136120    148166    30.37    2140   1  explorer           C:\Windows\explorer.exe
    688      50     47382     61964     7.22    2199   1  services           C:\Windows\System32\services.exe
    361      50    116106    134828    44.71    2242   1  excel              C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE
    183      51    170713    177897    39.44    2288   1  lsass              C:\Windows\System32\lsass.exe
    279       7     89158     99858    10.06    2343   1  conhost            C:\Windows\System32\conhost.exe
    183      19     31977     47537    12.32    2363   1  chrome             C:\Program Files\Google\Chrome\Application\chrome.exe
    972      15     11913     15537    38.70    2372   1  winword            C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE
   1265      40      6541     21427    41.67    2412   1  SgrmBroker         C:\Windows\System32\SgrmBroker.exe
    212      28    152414    153266    44.28    2420   1  excel              C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE
    161      44    107668    113876    11.76    2466   1  winword            C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE
    272      54      3814     16265    28.48    2471   1  acrord32           C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe
    357       9    122661    138555    40.51    2514   1  Discord            C:\Users\jsmith\AppData\Local\Discord\app-1.0.9013\Discord.exe
    563      25    178026    185123    41.01    2544   1  Teams              C:\Users\jsmith\AppData\Local\Microsoft\Teams\current\Teams.exe
   1008      16     18572     34632    41.78    2591   1  MsMpEng            C:\Program Files\Windows Defender\MsMpEng.exe
    195      48     12675     22931    37.12    2646   1  spoolsv            C:\Windows\System32\spoolsv.exe
    793      41     60094     62806    11.65    2689   1  vlc                C:\Program Files\VideoLAN\VLC\vlc.exe
   1331      59     48317     60717    25.14    2718   1  lsass              C:\Windows\System32\lsass.exe
    676      12    173869    175985    10.60    2735   1  chrome             C:\Program Files\Google\Chrome\Application\chrome.exe
   1224      48    117263    118000    40.01    2783   1  audiodg            C:\Windows\System32\audiodg.exe
   1317      15     73866     89155    35.57    2791   1  notepad            C:\Windows\System32\notepad.exe
    213      23    165719    175420     6.47    2831   1  audiodg            C:\Windows\System32\audiodg.exe
   1380      50    139025    158903    34.60    2846   1  SearchIndexer      C:\Windows\System32\SearchIndexer.exe
   1267      14    120732    127795    19.86    2899   1  audiodg            C:\Windows\System32\audiodg.exe
    166      42     71228     77690    36.67    2922   1  audiodg            C:\Windows\System32\audiodg.exe
    185      60     71147     85317    34.00    2968   1  wininit            C:\Windows\System32\wininit.exe
    406      29     20116     35414     5.96    2992   1  taskhostw          C:\Windows\System32\taskhostw.exe
    465      10     87869    102820    36.52    3032   1  SecurityHealthService C:\Windows\System32\SecurityHealthService.exe
    518       7    174994    190773    34.14    3066   1  notepad            C:\Windows\System32\notepad.exe
    577      45     97639    115731    26.62    3084   1  taskhostw          C:\Windows\System32\taskhostw.exe
    974      35    143075    149947     0.04    3103   1  MsMpEng            C:\Program Files\Windows Defender\MsMpEng.exe
   1336      17     72397     90848     5.12    3110   1  chrome             C:\Program Files\Google\Chrome\Application\chrome.exe
   1381       9     47014     59952    22.68    3170   1  acrord32           C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe
   1179      11    134812    146243     4.49    3174   1  dwm                C:\Windows\System32\dwm.exe
   1134      24    111451    114986    26.66    3183   1  Discord            C:\Users\jsmith\AppData\Local\Discord\app-1.0.9013\Discord.exe
    722      37      8110     19917    28.52    3230   1  sihost             C:\Windows\System32\sihost.exe
   1399      33     84501     94647    12.75    3267   1  ShellExperienceHost C:\Windows\System32\ShellExperienceHost.exe
    900       6    140046    147669     5.71    3325   1  winlogon           C:\Windows\System32\winlogon.exe
   1339      54    151312    164064     2.88    3385   1  outlook            C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE
   1186      51    103216    103964    40.57    3390   1  explorer           C:\Windows\explorer.exe
   1194      43    116248    121980    42.40    3397   1  wininit            C:\Windows\System32\wininit.exe
    840      24    172940    189724    42.36    3442   1  acrord32           C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe
    104       6    108158    118836    32.70    3472   1  RuntimeBroker      C:\Windows\System32\RuntimeBroker.exe
    243      56     86970     98007     6.83    3491   1  firefox            C:\Program Files\Mozilla Firefox\firefox.exe
   1104      50    171656    190003    11.98    3496   1  notepad            C:\Windows\System32\notepad.exe
    620      40    113369    119464    21.46    3512   1  slack              C:\Users\jsmith\AppData\Local\slack\slack.exe
    450      17    152765    169994    27.65    3549   1  dwm                C:\Windows\System32\dwm.exe
   1323      33    127576    138841    39.43    3589   1  dwm                C:\Windows\System32\dwm.exe
   1060      17    121819    135342     5.04    3593   1  svchost            C:\Windows\System32\svchost.exe
   1172       8     13418     30141    32.20    3641   1  SearchIndexer      C:\Windows\System32\SearchIndexer.exe
    904      24     12857     30296    25.85    3659   1  firefox            C:\Program Files\Mozilla Firefox\firefox.exe
    598      19     43519     49192    15.86    3670   1  RuntimeBroker      C:\Windows\System32\RuntimeBroker.exe
    775      29    100974    118962    13.19    3728   1  Discord            C:\Users\jsmith\AppData\Local\Discord\app-1.0.9013\Discord.exe
    713      28     66834     83088    36.06    3786   1  dwm                C:\Windows\System32\dwm.exe
   1150      25     76486     77672    44.48    3840   1  audiodg            C:\Windows\System32\audiodg.exe
   1096      57    106584    119414    31.20    3872   1  svchost            C:\Windows\System32\svchost.exe
    431      60     19250     32365    12.54    3917   1  explorer           C:\Windows\explorer.exe
    166      52    103867    117899    14.24    3943   1  chrome             C:\Program Files\Google\Chrome\Application\chrome.exe
    677      52     81469    101071    20.38    3974   1  acrord32           C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe
    835      12      6952     11306    38.90    3992   1  sihost             C:\Windows\System32\sihost.exe
    198      42    106200    120092    40.85    4010   1  wininit            C:\Windows\System32\wininit.exe
    967      29    122611    132232    16.80    4045   1  ShellExperienceHost C:\Windows\System32\ShellExperienceHost.exe
   1082      35     63929     69490    31.64    4081   1  excel              C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE
   1336      54    108791    113419     8.04    4085   1  excel              C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE
    309      43     54899     73013    34.60    4121   1  RuntimeBroker      C:\Windows\System32\RuntimeBroker.exe
    695      47     82809     97169    25.90    4161   1  winword            C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE
    105       5    177599    188569    25.55    4220   1  dwm                C:\Windows\System32\dwm.exe
    494      58    116789    131121     9.21    4262   1  outlook            C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE
    759      32     91953     95457    39.22    4281   1  cmd                C:\Windows\System32\cmd.exe
    231      57     30712     45236    38.99    4318   1  taskhostw          C:\Windows\System32\taskhostw.exe
   1306      53    101034    110402    42.73    4331   1  ShellExperienceHost C:\Windows\System32\ShellExperienceHost.exe
    301      50     28828     40432    35.08    4386   1  chrome             C:\Program Files\Google\Chrome\Application\chrome.exe
   1199      10     51023     60729     7.29    4440   1  svchost            C:\Windows\System32\svchost.exe
    900      44    132140    151142     6.92    4470   1  audiodg            C:\Windows\System32\audiodg.exe
   1333      54     32512     39539    23.24    4500   1  SearchIndexer      C:\Windows\System32\SearchIndexer.exe
   1304      43    138369    155062    10.67    4537   1  services           C:\Windows\System32\services.exe
   1267      47      6886     22507    21.06    4559   1  dwm                C:\Windows\System32\dwm.exe
    184      18     98063    100057    17.22    4591   1  Spotify            C:\Users\jsmith\AppData\Roaming\Spotify\Spotify.exe
    987      42    166987    175344    24.88    4606   1  vlc                C:\Program Files\VideoLAN\VLC\vlc.exe
   1094      49    163895    181101    13.03    4659   1  dllhost            C:\Windows\System32\dllhost.exe
    324      15     29394     33435    10.59    4674   1  lsass              C:\Windows\System32\lsass.exe
    780      43    104881    124291     6.79    4678   1  explorer           C:\Windows\explorer.exe
    329       9    163182    180458     6.02    4737   1  MsMpEng            C:\Program Files\Windows Defender\MsMpEng.exe
    682      26    168600    173855     6.11    4790   1  audiodg            C:\Windows\System32\audiodg.exe
   1262      22    130497    134098    17.23    4812   1  Spotify            C:\Users\jsmith\AppData\Roaming\Spotify\Spotify.exe
    598       5    135614    141243    20.15    4868   1  dwm                C:\Windows\System32\dwm.exe
    695       6     76288     77074    22.95    4924   1  chrome             C:\Program Files\Google\Chrome\Application\chrome.exe
    654      50     79786     85079    20.02    4934   1  ctfmon             C:\Windows\System32\ctfmon.exe
   1173      58      6584     19676    37.04    4939   1  cmd                C:\Windows\System32\cmd.exe
    157      54    174843    193954     1.53    4992   1  winword            C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE
    675      51     88766     95471     3.86    5008   1  dllhost            C:\Windows\System32\dllhost.exe
    733      12     73687     78522     3.34    5067   1  excel              C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE
   1393      37    133717    145434    36.69    5116   1  OneDrive           C:\Users\jsmith\AppData\Local\Microsoft\OneDrive\OneDrive.exe
    425      49    159313    179123    21.75    5174   1  ShellExperienceHost C:\Windows\System32\ShellExperienceHost.exe
    296      40    139622    146984    26.74    5194   1  csrss              C:\Windows\System32\csrss.exe
    428      42    100667    113754    25.61    5235   1  winlogon           C:\Windows\System32\winlogon.exe
    758      30    145339    152974    34.98    5284   1  Teams              C:\Users\jsmith\AppData\Local\Microsoft\Teams\current\Teams.exe
   1396      41     98085    110190    26.53    5292   1  SearchIndexer      C:\Windows\System32\SearchIndexer.exe
    199      31    136265    141905    26.48    5298   1  excel              C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE
    432       6     73888     75421    31.36    5322   1  wininit            C:\Windows\System32\wininit.exe
   1141      56    116914    117773    16.04    5352   1  wininit            C:\Windows\System32\wininit.exe
    760      31    176676    191574    23.72    5411   1  Teams              C:\Users\jsmith\AppData\Local\Microsoft\Teams\current\Teams.exe
    725      31     41829     56889     5.05    5438   1  slack              C:\Users\jsmith\AppData\Local\slack\slack.exe
    184       7    116972    132252     6.37    5480   1  acrord32           C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe
   1244      28     14707     17516    10.31    5529   1  Discord            C:\Users\jsmith\AppData\Local\Discord\app-1.0.9013\Discord.exe
    542       7    151310    168250    35.96    5548   1  cmd                C:\Windows\System32\cmd.exe
    826      33     96295    111277    33.06    5607   1  spoolsv            C:\Windows\System32\spoolsv.exe
   1256      31     70422     82229    21.16    5630   1  SecurityHealthService C:\Windows\System32\SecurityHealthService.exe
    528      39    166655    180386    10.22    5685   1  ctfmon             C:\Windows\System32\ctfmon.exe
    277      15    174133    189953    19.46    5720   1  chrome             C:\Program Files\Google\Chrome\Application\chrome.exe
    188      21     56605     66856    32.65    5746   1  outlook            C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE
   1175      31      9912     17576    18.46    5764   1  wininit            C:\Windows\System32\wininit.exe
    329      17    168714    176606    19.47    5770   1  lsass              C:\Windows\System32\lsass.exe
    960      34     90437     99359    21.94    5807   1  Discord            C:\Users\jsmith\AppData\Local\Discord\app-1.0.9013\Discord.exe
    178      33    129410    130886    31.02    5836   1  sihost             C:\Windows\System32\sihost.exe
    757      41     15273     26519    25.59    5873   1  chrome             C:\Program Files\Google\Chrome\Application\chrome.exe
    192      18    103441    116869     9.65    5892   1  svchost            C:\Windows\System32\svchost.exe
    608      59     40895     43320    38.03    5932   1  cmd                C:\Windows\System32\cmd.exe
    580      11     32416     37394    20.44    5983   1  dwm                C:\Windows\System32\dwm.exe
    601      42    133426    137933    12.08    6033   1  MsMpEng            C:\Program Files\Windows Defender\MsMpEng.exe
    945      47    136034    140424     5.20    6042   1  svchost            C:\Windows\System32\svchost.exe
    584       6    177687    188416    17.63    6094   1  explorer           C:\Windows\explorer.exe
    569      12     82480     85436    21.43    6110   1  excel              C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE
   1391      51     22301     26335    25.69    6143   1  OneDrive           C:\Users\jsmith\AppData\Local\Microsoft\OneDrive\OneDrive.exe
    519      21     89327    109075     3.57    6164   1  chrome             C:\Program Files\Google\Chrome\Application\chrome.exe
   1265      40    159031    159800    14.74    6209   1  dwm                C:\Windows\System32\dwm.exe
    181      28     12475     28539    21.17    6239   1  NisSrv             C:\Program Files\Windows Defender\NisSrv.exe
    788      23    157634    166674     5.01    6268   1  NisSrv             C:\Program Files\Windows Defender\NisSrv.exe
   1245      22    141663    155395    12.61    6311   1  wininit            C:\Windows\System32\wininit.exe
    208      11    118712    125185    31.63    6346   1  dwm                C:\Windows\System32\dwm.exe
    420      48    144851    157193    37.09    6378   1  ctfmon             C:\Windows\System32\ctfmon.exe
    385      37     65111     69070    11.87    6389   1  Spotify            C:\Users\jsmith\AppData\Roaming\Spotify\Spotify.exe
    932      46    153159    169521    16.70    6438   1  services           C:\Windows\System32\services.exe
   1132      50    130649    136752    42.99    6445   1  SearchIndexer      C:\Windows\System32\SearchIndexer.exe
    463      36     54674     59754     6.55    6475   1  dllhost            C:\Windows\System32\dllhost.exe
   1300      52     70714     77420    22.38    6482   1  MsMpEng            C:\Program Files\Windows Defender\MsMpEng.exe
   1145       9     58473     72028    41.51    6528   1  chrome             C:\Program Files\Google\Chrome\Application\chrome.exe
   1341      40     32088     51659    25.26    6583   1  outlook            C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE
    784      30     40428     48391     7.56    6601   1  dllhost            C:\Windows\System32\dllhost.exe
    824      13     84048     93434    12.82    6608   1  MsMpEng            C:\Program Files\Windows Defender\MsMpEng.exe
   1344      34    138225    147683    38.97    6623   1  dwm                C:\Windows\System32\dwm.exe
    754      51    158315    165760    17.94    6681   1  spoolsv            C:\Windows\System32\spoolsv.exe
    270      43      9566     16229     4.07    6701   1  firefox            C:\Program Files\Mozilla Firefox\firefox.exe
    188      25    145521    156704    23.32    6729   1  vlc                C:\Program Files\VideoLAN\VLC\vlc.exe
    845      24     68318     83412    41.83    6779   1  notepad            C:\Windows\System32\notepad.exe
    291      18     27120     33262    11.53    6805   1  services           C:\Windows\System32\services.exe
   1264      28    150312    166258    10.39    6848   1  svchost            C:\Windows\System32\svchost.exe
    715      38     84932     96721    26.17    6868   1  chrome             C:\Program Files\Google\Chrome\Application\chrome.exe
   1079      50     60369     71116    26.30    6895   1  winword            C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE
    675      21     23584     32593    20.96    6917   1  conhost            C:\Windows\System32\conhost.exe
    150      35     95395    114350    19.95    6948   1  RuntimeBroker      C:\Windows\System32\RuntimeBroker.exe
    593      24     49238     65499     1.54    6979   1  Teams              C:\Users\jsmith\AppData\Local\Microsoft\Teams\current\Teams.exe
    474      60    125084    125882    23.13    6995   1  ShellExperienceHost C:\Windows\System32\ShellExperienceHost.exe
    184      38    103452    108479    16.58    7021   1  SgrmBroker         C:\Windows\System32\SgrmBroker.exe
    865      14     37712     53861     7.55    7041   1  fontdrvhost        C:\Windows\System32\fontdrvhost.exe
   1153       5    127877    132107     5.05    7046   1  SearchIndexer      C:\Windows\System32\SearchIndexer.exe
    794      33    138532    155929    35.46    7100   1  slack              C:\Users\jsmith\AppData\Local\slack\slack.exe
    658      33     58377     73342    27.44    7130   1  MsMpEng            C:\Program Files\Windows Defender\MsMpEng.exe
    941      49      5432      9615    17.39    7141   1  chrome             C:\Program Files\Google\Chrome\Application\chrome.exe
   1165      42    117446    131217     8.42    7161   1  chrome             C:\Program Files\Google\Chrome\Application\chrome.exe
    857      21      9221     16685     0.28    7165   1  wmiprvse           C:\Windows\System32\wbem\WmiPrvSE.exe
    557      16    113789    121766    40.10    7192   1  wininit            C:\Windows\System32\wininit.exe
   1302       5    127623    137979    38.84    7232   1  SgrmBroker         C:\Windows\System32\SgrmBroker.exe
    325      38     53427     61106    35.74    7287   1  SecurityHealthService C:\Windows\System32\SecurityHealthService.exe
    678      47     70151     76203    36.00    7331   1  wmiprvse           C:\Windows\System32\wbem\WmiPrvSE.exe
    783      57     41240     42214     7.73    7346   1  NisSrv             C:\Program Files\Windows Defender\NisSrv.exe
   1196      26    111998    122436    36.42    7383   1  MsMpEng            C:\Program Files\Windows Defender\MsMpEng.exe
   1144       9    155375    160990    17.58    7390   1  chrome             C:\Program Files\Google\Chrome\Application\chrome.exe
    264       7     56750     64605    24.17    7427   1  Spotify            C:\Users\jsmith\AppData\Roaming\Spotify\Spotify.exe
    368      19    128329    137839    40.72    7473   1  SgrmBroker         C:\Windows\System32\SgrmBroker.exe
   1133      28     97576    108571    11.46    7477   1  dwm                C:\Windows\System32\dwm.exe
    940      50    101766    109769    14.38    7529   1  powershell         C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
    505       8    177057    186795    33.18    7548   1  vlc                C:\Program Files\VideoLAN\VLC\vlc.exe
    202      37     89048    106183    31.33    7573   1  OneDrive           C:\Users\jsmith\AppData\Local\Microsoft\OneDrive\OneDrive.exe
   1034      28     83838     93676     9.95    7608   1  OneDrive           C:\Users\jsmith\AppData\Local\Microsoft\OneDrive\OneDrive.exe
    841      11    169160    188271     7.36    7650   1  svchost            C:\Windows\System32\svchost.exe
   1006      36    128024    133436    30.41    7683   1  csrss              C:\Windows\System32\csrss.exe
   1173      51     40423     58904    14.64    7729   1  notepad            C:\Windows\System32\notepad.exe
    418       8    156916    158155    37.75    7759   1  Spotify            C:\Users\jsmith\AppData\Roaming\Spotify\Spotify.exe
   1356      39    101795    110993    12.86    7800   1  fontdrvhost        C:\Windows\System32\fontdrvhost.exe
    218      34    153564    169920    27.49    7842   1  sihost             C:\Windows\System32\sihost.exe
   1400      51     47546     59523     0.90    7874   1  dwm                C:\Windows\System32\dwm.exe
    903      35     42361     47397    29.58    7912   1  conhost            C:\Windows\System32\conhost.exe
    430      26     74100     83192    30.44    7953   1  conhost            C:\Windows\System32\conhost.exe
    103      44     41421     58837    21.85    8013   1  excel              C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE
    794      56     82437     99990    41.01    8052   1  powershell         C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
   1215      49    101459    102380     1.18    8064   1  conhost            C:\Windows\System32\conhost.exe
    922      55     86229     87580    39.50    8074   1  RuntimeBroker      C:\Windows\System32\RuntimeBroker.exe
    528      51     80847     86981     9.01    8118   1  RuntimeBroker      C:\Windows\System32\RuntimeBroker.exe
   1303      35     46324     62901     4.64    8159   1  svchost            C:\Windows\System32\svchost.exe
    605      27    104543    121393    32.63    8189   1  spoolsv            C:\Windows\System32\spoolsv.exe
    228      27    119598    137929     0.27    8205   1  OneDrive           C:\Users\jsmith\AppData\Local\Microsoft\OneDrive\OneDrive.exe
    290      24    108093    110443    10.97    8248   1  winword            C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE
    189      10    126178    130626    34.26    8264   1  chrome             C:\Program Files\Google\Chrome\Application\chrome.exe
    200      37     21430     28304    18.96    8272   1  OneDrive           C:\Users\jsmith\AppData\Local\Microsoft\OneDrive\OneDrive.exe
    825      47     94134     96917    16.29    8322   1  MsMpEng            C:\Program Files\Windows Defender\MsMpEng.exe
    719      40    151245    159748    15.40    8344   1  NisSrv             C:\Program Files\Windows Defender\NisSrv.exe
   1050      58     11781     12672    39.74    8373   1  conhost            C:\Windows\System32\conhost.exe
    493      45     51037     55686     3.62    8422   1  SearchIndexer      C:\Windows\System32\SearchIndexer.exe
    844      38    144381    158001    24.32    8463   1  chrome             C:\Program Files\Google\Chrome\Application\chrome.exe
   1046      22     52514     68395    32.56    8522   1  ShellExperienceHost C:\Windows\System32\ShellExperienceHost.exe
    702      14     12583     21729    21.20    8551   1  csrss              C:\Windows\System32\csrss.exe
    203      45    118418    125012    13.90    8596   1  dwm                C:\Windows\System32\dwm.exe
   1250      11    143446    144211    37.79    8625   1  conhost            C:\Windows\System32\conhost.exe
    601      28    130193    131307     3.18    8666   1  outlook            C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE
   1101      47    124137    134834    21.53    8707   1  outlook            C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE
    882      59    172351    175562     7.37    8724   1  SecurityHealthService C:\Windows\System32\SecurityHealthService.exe
    347      47    162969    173299    31.43    8772   1  chrome             C:\Program Files\Google\Chrome\Application\chrome.exe
   1376      57    153798    158783    44.94    8779   1  ctfmon             C:\Windows\System32\ctfmon.exe
    881      52    141497    156404    34.47    8839   1  acrord32           C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe
    219       5     96891    106052    29.19    8858   1  csrss              C:\Windows\System32\csrss.exe
    324      20     39484     49508    17.30    8863   1  dllhost            C:\Windows\System32\dllhost.exe
    772      28    153853    163775    20.67    8920   1  notepad            C:\Windows\System32\notepad.exe
   1098      11    105817    115186     8.01    8958   1  services           C:\Windows\System32\services.exe
    116      32     87178     88355    42.02    8998   1  NisSrv             C:\Program Files\Windows Defender\NisSrv.exe
   1211      28     65520     78962    10.01    9027   1  SecurityHealthService C:\Windows\System32\SecurityHealthService.exe
    356      16      6060      8384     5.70    9059   1  winword            C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE
   1304      19    100935    104172     7.47    9092   1  ShellExperienceHost C:\Windows\System32\ShellExperienceHost.exe
     97      15     38840     50877     6.75    9142   1  firefox            C:\Program Files\Mozilla Firefox\firefox.exe
   1383      34     38277     50411    36.95    9178   1  acrord32           C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe
    564      60    120038    123884    26.61    9226   1  ctfmon             C:\Windows\System32\ctfmon.exe
    675      47     96483    114849    42.05    9263   1  conhost            C:\Windows\System32\conhost.exe
    661      27     48134     51022    42.70    9282   1  cmd                C:\Windows\System32\cmd.exe
    688      21    175239    185507    17.56    9321   1  notepad            C:\Windows\System32\notepad.exe
    885      26    107358    123216    42.01    9335   1  cmd                C:\Windows\System32\cmd.exe
   1347      50    126870    134949    31.50    9350   1  excel              C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE
    366      18     75306     81031    18.75    9381   1  ShellExperienceHost C:\Windows\System32\ShellExperienceHost.exe
    542      12     74615     84483     5.18    9387   1  RuntimeBroker      C:\Windows\System32\RuntimeBroker.exe
   1364      46    162607    167248    21.74    9430   1  winlogon           C:\Windows\System32\winlogon.exe
    985      14     30751     48020    34.34    9464   1  fontdrvhost        C:\Windows\System32\fontdrvhost.exe
    453      37    116045    123892    27.35    9486   1  RuntimeBroker      C:\Windows\System32\RuntimeBroker.exe
   1386      60    131820    149780    29.37    9525   1  chrome             C:\Program Files\Google\Chrome\Application\chrome.exe
   1368      52     96835    107998    11.30    9545   1  OneDrive           C:\Users\jsmith\AppData\Local\Microsoft\OneDrive\OneDrive.exe
    358      21    138852    152808    41.47    9587   1  Teams              C:\Users\jsmith\AppData\Local\Microsoft\Teams\current\Teams.exe
    690      27     34353     37743    13.17    9602   1  audiodg            C:\Windows\System32\audiodg.exe
   1013      34     13129     27068     9.38    9632   1  SearchIndexer      C:\Windows\System32\SearchIndexer.exe
    482       5    127899    140218    43.11    9647   1  excel              C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE
    490      52     65502     67919    30.47    9661   1  wininit            C:\Windows\System32\wininit.exe
